study_id,publication_year,title,venue,ccf_2026,languages,tasks,task_subcategories,study_types,models,strategies,strategy_parents,integrated_techniques,generation_metrics,benchmarks,training_datasets,tool_names,source_links,artifact_links,code_availability_group,code_audit_date
U066,2025,What You See Is What You Get: Attention-based Self-guided Automatic Unit Test Generation,ICSE,A,Java,Test Generation,,Approach,DeepSeek-Coder;CodeLlama,Zero-shot,Prompting Engineering,Program Analysis;Information Retrieval;Program Repair,Real-bug Detection;Precision;Recall;Time,"Defects4J
Bears and Bugs.jar (defect-detector training/evaluation)
Post-March-2023 bugs from five open-source projects","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",WYSIWYG (AUGER),https://arxiv.org/html/2412.00828v1,https://github.com/vinci-grape/AUGER,Verified implementation or experimental code,2026-09-22
U067,2024,Design choices made by LLM-based test generators prevent them from finding bugs,arXiv,Not applicable (preprint),Python,Test Generation,,Empirical,GPT-4o;Copilot (backend unspecified),Zero-shot,Prompting Engineering,Not reported,Bug-revealing Test/Suite Count;Bug-validating Suite Rate;Rejected Test/Suite Count;Generation Failure Rate,"Refactory
SWE-bench qualitative examples","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/html/2412.14137v1,,Accessible author code not verified,2026-09-22
U068,2025,TestGenEval: A Real World Unit Test Generation and Test Completion Benchmark,ICLR,A,Python,Test Generation;Test Augmentation,,Benchmark,GPT-4o;CodeLlama;Llama 3.1;Codestral;DeepSeek-Coder-V2;Gemma 2,Zero-shot,Prompting Engineering,Not coded into the listed integration categories,Pass Rate;Line Coverage;Mutation Score;Generation Diversity;Failure-type Distribution;Win Rate;Elo;Code Coverage,"TestGenEval (derived from SWE-bench)
TestGenEvalLite
HumanEval/TestEval/MMLU (correlation comparisons, not main UT subjects)","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",TestGenEval,https://proceedings.iclr.cc/paper_files/paper/2025/file/26ded5c8ee8ec1bc4caced4e1c9b1584-Paper-Conference.pdf,https://figshare.com/s/51171ae97cd21d233d4f,Verified implementation or experimental code,2026-09-22
U069,2025,Automating Autograding: Large Language Models as Test Suite Generators for Introductory Programming,JCAL,Not listed in CCF,C,Test Generation,,Empirical,GPT-4,Zero-shot;CoT,Prompting Engineering,Execution/Coverage Feedback,Grading Accuracy;Precision;Recall;False Positive Rate;Grade Agreement;Time;Cost;Token Usage,26 Auckland Engineering Computation CS1 C assignments (Fall2023 student submissions),"Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2411.09261,https://github.com/umar221b/autograder_llm_test_generator,Verified implementation or experimental code,2026-09-22
U070,2024,LLM4VV: Developing LLM-driven testsuite for compiler validation,FGCS,C,C;C++;Fortran,Test Generation,,Empirical,CodeLlama;DeepSeek-Coder;GPT-3.5;GPT-4,Zero-shot;Few-shot;PEFT;Fine-tuning (type unspecified),Model Training;Prompting Engineering,Information Retrieval,Output Parsing/Completeness;Compile Rate;Runtime Error Rate;Pass Rate;Correct Rate;Time,OpenACC V&V testsuite and OpenACC specification chapters2–3,"OpenACC V&V-derived 1,335 C/C++/Fortran training examples; actual held-out feature experiments are separate.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2310.04963,https://github.com/chrismun/vvllm,Verified implementation or experimental code,2026-09-22
U071,2026,VALTEST: Automated Validation of Language Model Generated Test Cases,TSE,A,Python,Test Generation;Test Repair,,Approach,GPT-3.5;GPT-4o;Llama 3.1;Qwen2.5-Coder,Zero-shot;Few-shot;CoT,Prompting Engineering,Program Analysis,Precision;Recall;Line Coverage;Mutation Score;Retained Test Count;Code Coverage,"HumanEval (164 functions)
MBPP-sanitized (427 tasks)
LeetCode (512 challenges)
TestEval
BigCodeBench full and hard","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",VALTEST,https://arxiv.org/pdf/2411.08254v3,https://github.com/HamedTaherkhani/VALTEST,Verified implementation or experimental code,2026-09-22
U072,2024,Large Language Models as Test Case Generators: Performance Evaluation and Enhancement,arXiv,Not applicable (preprint),Python,Test Generation,,Approach,StarChat;CodeLlama;GPT-3.5;GPT-4,Zero-shot;Few-shot;CoT,Prompting Engineering,Execution/Coverage Feedback,Correct Rate;Line Coverage;Synthetic-bug Detection;Test Count;Failure-mode Distribution;Code Coverage,"HumanEval-no-exp164
LeetCode-no-exp39","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",TestChain,https://arxiv.org/pdf/2404.13340,,Verified implementation or experimental code,2026-09-22
U073,2025,AssertionBench: A Benchmark to Evaluate Large-Language Models for Assertion Generation,NAACL,B,Verilog;SystemVerilog,Test Oracle Generation,Assertion Oracle Generation,Benchmark,GPT-3.5;GPT-4o;CodeLlama;Llama 3,Few-shot,Prompting Engineering,Program Repair,Not applicable (task does not include Test Generation),AssertionBench: 100 OpenCores Verilog designs; 5 curated ICL exemplar designs,"Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://aclanthology.org/2025.findings-naacl.449.pdf,https://github.com/achieve-lab/assertion_data_for_LLM,Verified implementation or experimental code,2026-09-22
U074,2024,Chat-like Asserts Prediction with the Support of Large Language Model,arXiv,Not applicable (preprint),Python,Test Oracle Generation,Assertion Oracle Generation,Approach,InstructGPT;GPT-3.5;GPT-4;Gemini 1.5 Pro,Few-shot;CoT,Prompting Engineering,Program Analysis;Information Retrieval;Program Repair;SBST Tools;Execution/Coverage Feedback,Not applicable (task does not include Test Generation),CLAP Pythonassertdataset14repos sourcedPynguin/BugsInPy plus5GitHubprojects,CLAP itself has no weight training; CodeT5 baseline fine-tuning only. Baseline training split not independently extracted from existing record.,CLAP,https://arxiv.org/pdf/2407.21429,https://github.com/freddiewanah/CLAP,Partial implementation or auxiliary code,2026-09-22
U075,2025,Improving the Readability of Automatically Generated Tests using Large Language Models,ICST,C,Java,Test Readability Improvement,,Approach,GPT-3.5;GPT-4;Gemini 1.5 Pro;Llama 3;Claude 3 Haiku;Claude 3 Sonnet;Mistral;Mixtral,Zero-shot;CoT,Prompting Engineering,Program Analysis;SBST Tools,Not applicable (task does not include Test Generation),"ApacheCommonsLang,JFreeChart,CommonsCLI,CommonsCSV,GoogleGson","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://matteobiagiola.github.io/assets/pdfs/improving-the-readability-of-automatically-generated-tests-using-large-language-models.pdf,https://github.com/GhislottiGianluca/readability-llms,Verified implementation or experimental code,2026-09-22
U077,2025,"Test Wars: A Comparative Study of SBST, Symbolic Execution, and LLM-Based Approaches to Unit Test Generation",ICST,C,Java,Test Generation,,Empirical,GPT-4o;GPT-4;Llama (version unspecified);CodeLlama,Zero-shot,Prompting Engineering,Program Analysis;Program Repair,Compile Rate;Line Coverage;Branch Coverage;Instruction Coverage;Mutation Score;Real-bug Detection;Code Coverage,GitBugJava filtered JDK11subset,"Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/html/2501.10200v1,https://github.com/plan-research/tga-pipeline;https://doi.org/10.5281/zenodo.13862019,Verified implementation or experimental code,2026-09-22
U078,2025,Doc2OracLL: Investigating the Impact of Documentation on LLM-based Test Oracle Generation,FSE,A,Java,Test Oracle Generation,Whole Oracle Generation,Empirical,CodeGPT;CodeParrot;CodeGen;PolyCoder;Phi-1;CodeLlama;CodeGemma,Full FT;PEFT,Model Training,Not coded into the listed integration categories,Not applicable (task does not include Test Generation),"SF110* Javadoc subset
Defects4J","SF110* Javadoc oracle subset, 90/5/5 split of 55,575 examples; Defects4J used for evaluation.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2412.09360,,Accessible author code not verified,2026-09-22
U079,2024,Do LLMs generate test oracles that capture the actual or the expected program behaviour?,arXiv,Not applicable (preprint),Java,Test Oracle Generation,Assertion Oracle Generation,Empirical,GPT-3.5,Zero-shot,Prompting Engineering,Program Analysis;SBST Tools,Not applicable (task does not include Test Generation),"TOGA/TOGLL artifact24Java repositories (25minusAsync-http-client)
Gitbug-Java developer tests subset","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/html/2410.21136v1,https://doi.org/10.5281/zenodo.13867480,Accessible author code not verified,2026-09-22
U080,2024,Transducer Tuning: Efficient Model Adaptation for Software Tasks Using Code Property Graphs,arXiv,Not applicable (preprint),Java,Test Oracle Generation,Assertion Oracle Generation,Approach,CodeT5+,PEFT,Model Training,Program Analysis,Not applicable (task does not include Test Generation),ATLAS/Watson assertionpairs preprocessed viaFineTuner,"ATLAS/Watson assertion pairs via FineTuner; Appendix A2: 50,661 train / 6,356 validation / 6,262 test; body test count conflicts.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2412.13467,https://github.com/imamnurby/Transducer-Tuning,Partial implementation or auxiliary code,2026-09-22
U081,2024,Deep Multiple Assertions Generation,FORGE,Not listed in CCF,Java,Test Oracle Generation,Assertion Oracle Generation,Approach,GraphCodeBERT,Fine-tuning (type unspecified),Model Training,Program Analysis,Not applicable (task does not include Test Generation),"Methods2Test-derived assertion dataset
Defects4J","Methods2Test-derived Java focal/test/assertion-sequence triples: 305630 training, 36584 validation, 37396 test; 379610 total",Not recorded or no standalone tool name; not used as a core statistical dimension,https://doi.org/10.1145/3650105.3652293,,Verified implementation or experimental code,2026-09-22
U082,2026,How Well does LLM Generate Security Tests,TSE,A,Java,Bug Reproduction,,Approach;Dataset,GPT-4;Gemini 2.5 Pro;Claude 3.7 Sonnet;Llama 3.3;DeepSeek-V3,Zero-shot;Few-shot,Prompting Engineering,Not coded into the listed integration categories,Not applicable (task does not include Test Generation),"Author49App–Libpairs/25Libs/29knownvulnerabilityentries
RestoredTRANSFER28of42pairs
SIEGE11toyapps","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2310.00710,https://github.com/ying-selab/TSE-2025,Accessible author code not verified,2026-09-22
U083,2023,CodeT: Code Generation with Generated Tests,ICLR,A,Python,Test Generation,,Approach,Codex;InCoder;CodeGen,Zero-shot;Few-shot,Prompting Engineering,Differential Testing,Correct Rate;Test Toxicity;Statement Coverage;Branch Coverage;Valid Assertion Count;Code Coverage,"HumanEval164 function tasks
MBPP427 function tasks
APPS5000 whole-program tasks:1000 introductory/3000 interview/1000 competition
CodeContests165 whole-program tasks","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2207.10397,https://github.com/microsoft/CodeT,Verified implementation or experimental code,2026-09-22
U084,2024,LLM-Based Test-Driven Interactive Code Generation: User Study and Empirical Evaluation,TSE,A,Python,Test Generation,,Approach,GPT-3.5;Codex;InstructGPT;GPT-4;CodeGen;CodeGen2.5,Zero-shot,Prompting Engineering,Not coded into the listed integration categories,Human Task Correctness;Human Task Completion Time;Cognitive Load,"MBPP sanitized427
HumanEval164 with docstring I/Oexamples removed
Three selected MBPP user-study tasks:LowerUnderscore,FirstMissing,MaxProduct","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://www.seas.upenn.edu/~asnaik/assets/papers/tse24_ticoder.pdf,https://github.com/microsoft/TiCoder,Verified implementation or experimental code,2026-09-22
U086,2026,CITYWALK: Enhancing LLM-Based C++ Unit Test Generation via Project-Dependency Awareness and Language-Specific Knowledge,TOSEM,A,C++,Test Generation,,Approach,GPT-4o;DeepSeek-V3;CodeGeeX4;GPT-3.5,Zero-shot;CoT,Prompting Engineering,Program Analysis;Information Retrieval;Program Repair,Compile Rate;Pass Rate;Line Coverage;Branch Coverage;Test Count;Test Complexity;Mock Usage;Mutation Score;Real-bug Detection;Time;Token Usage;Cost;Readability;Assertion Quality;Adoption Effort;Code Coverage;Cyclomatic Complexity;Test Code Size,"10publicC++projects:hjson-cpp,tinyxml2,yaml-cpp,re2,ninja,leveldb,json.cpp,glomap,papy,mlx
Mutation subsettinyxml2/json.cpp
25focalmethodsfrom5projectsforhumanrating","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://zhangyw.work/file/papers/Zhang2026TOSEM_B.pdf,https://zenodo.org/records/14022506,Verified implementation or experimental code,2026-09-22
U087,2024,LTM: Scalable and Black-box Similarity-based Test Suite Minimization based on Language Models,TSE,A,Java,Test Minimization,,Approach,CodeBERT;GraphCodeBERT;UniXcoder;StarEncoder;CodeLlama,Existing-model reuse (no new training or prompting experiment),Existing-model reuse (no new training or prompting experiment),SBST Tools,Not applicable (task does not include Test Generation),"Defects4J17Java projects835faultyversions
MatchedATMcomparison16projects661versions
Closureadditional174versions,average7308tests/version","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2304.01397,https://zenodo.org/records/13685828,Verified implementation or experimental code,2026-09-22
U088,2025,A Large-scale Empirical Study on Fine-tuning Large Language Models for Unit Testing,ISSTA,A,Java,Test Generation;Test Oracle Generation;Test Evolution,Assertion Oracle Generation,Empirical,CodeBERT;GraphCodeBERT;UniXcoder;CodeT5;CodeT5+;PLBART;CodeGPT;SantaCoder;DeciCoder;CodeShell;InCoder;StarCoder;Phi-1;Phi-2;CodeGen;CodeGen2;StarCoder2;CodeLlama;CodeGemma;DeepSeek-Coder;GPT-3.5;Llama 3.1;Llama 3;Qwen2,Full FT;Zero-shot,Model Training;Prompting Engineering,Not coded into the listed integration categories,Syntax Rate;Compile Rate;Pass Rate;Correct Rate;Real-bug Detection;Precision,"Methods2Test filtered56132pairs from780944raw; repository8:1:1
Defects4J5projects:Cli,Csv,Gson,Chart,Lang
ATLASData_old156760TestAssertPairs,8:1:1
Ceprotobsolete-test-update5196samples,~8:1:1
ConfidentialindustrialJavaMavenJUnit4dataset","Methods2Test filtered corpus; ATLAS Data_old; CEPROT update corpus, each with reported repository/data splits; Defects4J/industrial data are evaluation.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2412.16620,https://github.com/iSEngLab/LLM4UT_Empirical,Verified implementation or experimental code,2026-09-22
U089,2023,Towards More Realistic Evaluation for Neural Test Oracle Generation,ISSTA,A,Java,Test Oracle Generation,Whole Oracle Generation,Empirical,CodeBERT,Existing-model reuse (no new training or prompting experiment),Existing-model reuse (no new training or prompting experiment),Program Analysis;SBST Tools,Not applicable (task does not include Test Generation),"Defects4J2.0: 835 bugs, 17 public Java projects","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://kui-liu.github.io/papers/2023-liu-towards.pdf,https://github.com/Tbabm/TEval-plus,Verified implementation or experimental code,2026-09-22
U090,2024,Assessing Evaluation Metrics for Neural Test Oracle Generation,TSE,A,Java,Test Oracle Generation,Assertion Oracle Generation,Empirical,GPT-3.5;CodeBERT,Zero-shot;Fine-tuning (type unspecified),Model Training;Prompting Engineering,Not coded into the listed integration categories,Not applicable (task does not include Test Generation),"ATLAS reconstructed/project-split Java assertion dataset
13 deployable open-source Java projects","Reconstructed project-split ATLAS: 261,794 train / 32,476 validation / 29,724 test; TOGA retraining, GPT-3.5 prompting.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://www.eecs.yorku.ca/~wangsong/papers/tse24.pdf,https://github.com/shinjh0849/assessing_ntog,Verified implementation or experimental code,2026-09-22
U091,2025,Dynamic Scaling of Unit Tests for Code Reward Modeling,ACL,A,Python,Test Generation,,Approach,Llama 3.1;Gemma 2;GPT-4o,Fine-tuning (type unspecified);Zero-shot,Model Training;Prompting Engineering,Program Repair;Execution/Coverage Feedback,Accuracy;F1;False Acceptance Rate;False Rejection Rate;Test Budget,"HumanEval Plus
MBPP Plus
LiveCodeBench: 168 functional queries Jan–Sep 2024
Training: CodeFeedback-Filtered-Instruction and TACO transformed to functional problems",CodeFeedback-Filtered-Instruction and TACO converted to functional tasks; 0/5k/10k/30k/60k training-size ablations; exact final used size not fully specified.,Not recorded or no standalone tool name; not used as a core statistical dimension,https://aclanthology.org/2025.acl-long.343.pdf,https://code-reward-model.github.io/,Verified implementation or experimental code,2026-09-22
U092,2025,Otter: Generating Tests from Issues to Validate SWE Patche,ICML,A,Python,Bug Reproduction,,Approach;Benchmark,GPT-4o;Mistral Large,Zero-shot,Prompting Engineering,Program Analysis;Information Retrieval;Program Repair,Not applicable (task does not include Test Generation),"TDD-Bench-Verified:449 issues from12 Python repositories
SWT-bench Lite:276 issues
SWE-bench Verified submissions from22 patch-generating systems for downstream validation","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://raw.githubusercontent.com/mlresearch/v267/main/assets/ahmed25b/ahmed25b.pdf,https://github.com/IBM/TDD-Bench-Verified,Verified implementation or experimental code,2026-09-22
U093,2024,Method-Level Test-to-Code Tracing Link Construction by Semantic Correlation Learning,TSE,A,Java,Test-to-Code Tracing,,Approach,CodeT5;CodeBERT;GraphCodeBERT;UniXcoder;GPT-3.5,Fine-tuning (type unspecified);Zero-shot,Model Training;Prompting Engineering,Program Analysis,Not applicable (task does not include Test Generation),"TestLink derived from Methods2Test: >2.5million labelled test-call pairs
Manual TCTL groundtruth231tests/335links:CommonsIO,CommonsLang,JFreeChart,Gson,Jenkins-core,Dubbo-rpc",TestLink derived from Methods2Test (>2.5M total labelled test-call pairs); exact training split count not reported.,Not recorded or no standalone tool name; not used as a core statistical dimension,https://yanmeng.github.io/papers/TSE241.pdf,https://figshare.com/s/6d9a729c2ebb83c4b291,Verified implementation or experimental code,2026-09-22
U094,2025,The Prompt Alchemist: Automated LLM-Tailored Prompt Optimization for Test Case Generation,arXiv,Not applicable (preprint),Java,Test Generation,,Approach,GPT-3.5;Llama 3.1;Qwen2,Zero-shot,Prompting Engineering,Program Analysis;Execution/Coverage Feedback,Line Coverage;Branch Coverage;Code Coverage,"Defects4J fixedversions,5projects:CommonsCli,CommonsCsv,Gson,JFreeChart,CommonsLang","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2501.01329,https://zenodo.org/records/14287744,Verified implementation or experimental code,2026-09-22
U095,2024,An Empirical Study on Focal Methods in Deep-Learning-Based Approaches for Assertion Generation,FSE,A,Java,Test Oracle Generation,Assertion Oracle Generation,Empirical;Dataset;Benchmark,T5,Fine-tuning (type unspecified),Model Training,Program Analysis,Not applicable (task does not include Test Generation),"ATLAS
ATLAS+
TCTracer (focal-method identification)","ATLAS training data
ATLAS+ TSatlas/TSnull/TSlcba/TScombined",Not recorded or no standalone tool name; not used as a core statistical dimension,https://dl.acm.org/doi/full/10.1145/3660785,https://github.com/yibo2000/Artifact-ATLAS_Plus-FSE24,Verified implementation or experimental code,2026-09-22
U096,2025,TOGLL: Correct and Strong Test Oracle Generation with LLMs,ICSE,A,Java,Test Oracle Generation,Whole Oracle Generation,Approach,CodeGPT;CodeParrot;CodeGen;PolyCoder;Phi-1,Fine-tuning (type unspecified),Model Training,SBST Tools,Not applicable (task does not include Test Generation),"SF110110Java projects:159073oracleinputs,90/5/5split
OracleEval25:25publicJava projects202434assertionprefixes+21123exceptionprefixes
Defects4JTOGAreplication:374inputs304assertion/70exception
PIT1.9.8:69793coveredmutants","SF110-derived 159,073 oracle inputs with 90/5/5 split; OracleEval25 and Defects4J are evaluation.",TOGLL,https://arxiv.org/pdf/2405.03786,https://doi.org/10.6084/m9.figshare.28282721,Verified implementation or experimental code,2026-09-22
U097,2025,AugmenTest: Enhancing Tests with LLM-Driven Oracles,ICST,C,Java,Test Oracle Generation,Whole Oracle Generation,Approach,GPT-4o;Llama 3;Llama 2,Zero-shot,Prompting Engineering,Program Analysis;Information Retrieval;SBST Tools;Program Repair,Not applicable (task does not include Test Generation),"Selected 142 Java classes from Gruber et al. test-flakiness project corpus
Major 3.0.1 synthetic mutants; EvoSuite 1.2 tests","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/html/2501.17461v1,https://github.com/se-fbk/augmentest;https://zenodo.org/records/13881826,Verified implementation or experimental code,2026-09-22
U098,2025,PyTester: Deep Reinforcement Learning for Text-to-Testcase Generation,JSS,B,Python,Test Generation,,Approach,CodeT5,Fine-tuning (type unspecified);RL;Zero-shot,Model Training;Prompting Engineering,Program Analysis;Execution/Coverage Feedback,Syntax Rate;Pass Rate;Line Coverage;Mutation Score;Composite Test Quality;Time;Failure-type Distribution;Code Coverage,"APPS filtered subset
HumanEval
MBPP subset","Filtered APPS training subset: 3,401 problems (10% validation); 3,259 APPS evaluation problems; HumanEval/MBPP are additional evaluation.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/pdf/2401.07576v2,https://github.com/awsm-research/pytester,Verified implementation or experimental code,2026-09-22
U099,2025,DeCon: Detecting Incorrect Assertions via Postconditions Generated by a Large Language Model,arXiv,Not applicable (preprint),Python,Test Oracle Generation,Assertion Oracle Generation,Approach,GPT-3.5;GPT-4;Codex;CodeGen;InCoder,Zero-shot,Prompting Engineering,Not coded into the listed integration categories,Not applicable (task does not include Test Generation),"HumanEval164
DeCon-AssertData generated assertion corpus
HumanEvalFix164 manually injected buggy implementations","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/html/2501.02901v1,https://github.com/CAIFANQI/DeCon,Verified implementation or experimental code,2026-09-22
U100,2025,Test Intention Guided LLM-based Unit Test Generation,ICSE,A,Java;C;C++;Go,Test Generation,,Approach,CodeLlama;Llama 3.1,Few-shot;PEFT,Model Training;Prompting Engineering,Program Analysis;Information Retrieval,Compile Rate;Executable Test Rate;Pass Rate;Line Coverage;Branch Coverage;Code Coverage;Line Acceptance Rate;Token Edit Distance;Line Edit Distance;Time;Developer Acceptance;Test Size;Developer-reported Effort Reduction;Real-bug Detection,"Three anonymized industrial Java projects
Industrial live-study requests
Five open-source Java projects (preliminary): apollo, audit-impl, milo, collections, pulsar",Main CodeLLaMA LoRA: 10000 focal-context/test pairs from three industrial projects excluding evaluation ground truth. Preliminary CodeLLaMA-SFT: 200000 GitHub Java focal/test pairs. Auxiliary CodeBERT classifier: historical mock/no-mock examples; count not reported.,Not recorded or no standalone tool name; not used as a core statistical dimension,https://doi.org/10.1109/ICSE55347.2025.00243,,Accessible author code not verified,2026-09-22
U101,2024,Using GitHub Copilot for Test Generation in Python: An Empirical Study,AST,Not listed in CCF,Python,Test Generation,,Empirical,Copilot (backend unspecified),Other prompting,Prompting Engineering,Not coded into the listed integration categories,Pass Rate;Syntax Rate;Runtime Error Rate;Empty Output Rate;Branch Coverage;Branch Overlap Ratio;Edit Similarity;Code Coverage;Failure-mode Distribution,"7 public Python projects: click,pyexperiment,django-multiurl,python-crontab,exif,python-lottie,pyspread","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://azaidman.github.io/publications/elhajiAST2024.pdf,https://doi.org/10.5281/zenodo.8025746,Verified implementation or experimental code,2026-09-22
U102,2025,Mutation-Guided LLM-based Test Generation at Meta,FSE,A,Kotlin,Test Augmentation,,Approach,Llama 3.1,Zero-shot,Prompting Engineering,Mutation Testing;Execution/Coverage Feedback,Not applicable (task does not include Test Generation),Private Meta Android Kotlin code across seven platforms plus cross-app products,"Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://discovery.ucl.ac.uk/10218052/1/fse25_industry_paper_arXiv.pdf,,Accessible author code not verified,2026-09-22
U103,2023,Nuances are the Key: Unlocking ChatGPT to Find Failure-Inducing Tests with Differential Prompting,ASE,A,Python,Test Generation,,Approach,GPT-3.5,Zero-shot,Prompting Engineering,Differential Testing;Execution/Coverage Feedback,Fault-triggering Success Rate;Precision;Fault-detected Program Count;Failure-type Distribution,"QuixBugs40 Python buggy+40 patched functions
Codeforces Round835 (2022-11-21),7 buggy/patched program pairs","Not applicable to recorded target-task training; retrieval corpora, prompt examples and temperature tuning are not counted as training datasets. Auxiliary-model training is outside this field.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://arxiv.org/html/2304.11686v6,https://differential-prompting.github.io/,Verified implementation or experimental code,2026-09-22
U104,2025,Less is More: On the Importance of Data Quality for Unit Test Generation,FSE,A,Java,Test Generation,,Approach,CodeBERT;CodeT5;StarCoder;CodeLlama,Fine-tuning (type unspecified);PEFT,Model Training,Program Analysis,CodeBLEU;Syntax Rate;Execution Success Rate;Line Coverage;Branch Coverage;Real-bug Detection;Code Coverage,"Methods2Test780944pairs/586468focal methods
ATLAS188154pairs
Defects4J derived757focal methods/1440test cases
Coverage-predictor corpus1269methods/25680tests","Original/cleaned Methods2Test and ATLAS training corpora; separate coverage-predictor corpus 1,269 methods/25,680 tests; exact final filtered training counts not reported.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://xing-hu.github.io/assets/papers/FSE25CleanTest.pdf,https://zenodo.org/records/15347368,Verified implementation or experimental code,2026-09-22
U105,2025,exLong: Generating Exceptional Behavior Tests with Large Language Models,ICSE,A,Java,Test Generation;Test Oracle Generation,Exceptional Oracle Generation,Approach,CodeLlama;GPT-4o,PEFT;Few-shot,Model Training;Prompting Engineering,Program Analysis;Information Retrieval;Execution/Coverage Feedback,Exact Match;BLEU;CodeBLEU;Edit Similarity;Compile Rate;Exception-type Match;Runnable Rate;Throw-statement Coverage;Developer Acceptance;Code Coverage;Target-throw Coverage Overlap,562JavaMavenCodeSearchNetprojects curatedexception-testdataset,"CodeSearchNet-derived Java exceptional-test corpus: 501 training projects / 11,182 exceptional-behavior tests; 29 validation and 32 evaluation projects.",Not recorded or no standalone tool name; not used as a core statistical dimension,https://users.ece.utexas.edu/~gligoric/papers/ZhangETAL25exLong.pdf,https://github.com/EngineeringSoftware/exLong,Verified implementation or experimental code,2026-09-22
